Year	State	Base: All Respondents	in preschool	in kindergarten	in grade 1 to grade 4	in grade 5 to grade 8	in high school 	in college, undergraduate	in graduate school	preschool (in %)	kindergarten(in %)	grade 1 to grade 4(in %)	in grade 5 to grade 8 (in %)	high school (in %)	college. undergraduate (in %)	graduate school (in %)
2012	Pennsylvania	3031943	185764	143093	591923	608132	635645	700536	166850	6.12689618505361	4.71951484576062	19.522893405318	20.05750108099	20.9649389846709	23.1051837056303	5.50307179257658
2012	Rhode Island	266870	14208	10927	45112	49074	51551	80254	15744	5.32394049537228	4.0945029415071	16.9041106156556	18.3887285944467	19.3168958669015	30.0723198561097	5.89950163000712
2012	South Carolina	1202103	64441	72787	244837	242236	248431	274471	54900	5.36068872634042	6.05497199491225	20.3673894832639	20.1510186731087	20.666365527746	22.8325692557127	4.56699633891605
2012	South Dakota	217046	13987	12116	46957	43364	44519	46411	9692	6.44425605631986	5.58222680906352	21.6345843738194	19.9791749214452	20.5113201809755	21.3830247965869	4.46541286178967
2012	Tennessee	1584716	89163	80941	329430	335822	338312	338590	72458	5.62643401088902	5.10760287647755	20.7879519106263	21.1913049404436	21.3484308860389	21.3659734614909	4.57230191403381
2012	Texas	7488362	457909	414700	1632917	1589151	1548893	1538439	306353	6.11494209281015	5.53792671882048	21.8060638628314	21.2216102800586	20.684002723159	20.5443994294079	4.0910548929125
2012	Utah	951611	59841	51913	204305	196741	191989	212762	34060	6.28838884796414	5.4552753173303	21.4693819218147	20.6745193151403	20.1751556045485	22.3580853941369	3.57919359906516
2012	Vermont	149328	8741	6591	26602	27318	31499	40801	7776	5.8535572699025	4.41377370620379	17.8144755169828	18.2939569270331	21.0938337083467	27.3230740383585	5.20732883317261
2012	Virginia	2155541	127495	106524	416704	415000	425272	524307	140239	5.91475643469551	4.94186842189501	19.3317594051795	19.2527073249825	19.7292466253252	24.3236848661195	6.50597692180293
2012	Washington	1724293	103191	89591	351923	351641	361369	387707	78871	5.98453975049484	5.19581068878665	20.4096983517302	20.3933438226566	20.9575170809137	22.484983700566	4.57410660485196
2012	West Virginia	405213	22238	20496	84347	85121	84568	89679	18764	5.4879779276578	5.05808056503617	20.8154723565137	21.00648301017	20.8700115741598	22.1313235261455	4.63065104031707
2012	Wisconsin	1462332	76635	86034	290452	293413	305085	348754	61959	5.24060199735765	5.88334249677912	19.8622474239776	20.0647322222313	20.8629093803596	23.8491669470408	4.23699953225396
2010	Wyoming	149521	9480	7755	32001	30973	29086	33450	6776	6.34024652055564	5.18656242266973	21.4023448211288	20.7148159790264	19.4527858962955	22.371439463353	4.53180489697099
2010	Puerto Rico	906392	53528	39556	169126	185834	190760	231119	36469	5.90561258263533	4.36411618813935	18.6592555980194	20.5026081430551	21.0460816070751	25.4987908101572	4.02353507091854
